date,open,high,low,close,volume,oi
2025-08-20,73.58,73.82,72.93,73.57,17754,336461
2025-08-21,73.77,75.04,73.34,74.90,26994,336880
2025-08-22,74.88,75.08,74.54,74.81,26994,336880
2025-08-25,74.79,74.88,74.10,74.47,15152,338181
2025-08-26,74.32,75.26,73.86,75.03,21059,340557
2025-08-27,75.00,75.58,74.21,74.52,19162,339452
2025-08-28,74.62,74.62,73.59,74.00,24646,340721
2025-08-29,74.00,75.33,73.88,75.27,23413,342992
2025-09-01,75.18,76.83,75.06,76.25,32664,345801
2025-09-02,76.40,76.72,75.64,75.89,28117,344044
2025-09-03,75.74,77.33,75.70,77.23,28898,342971
2025-09-04,77.28,77.99,76.86,77.72,27743,343492
2025-09-05,77.57,78.53,77.57,78.32,27459,343314
2025-09-08,78.33,79.60,77.78,79.45,28614,344793
2025-09-09,79.28,79.51,78.28,79.18,31688,346299
2025-09-10,79.28,79.86,78.53,79.38,25327,348331
2025-09-11,79.45,79.58,77.58,77.82,34837,349117
2025-09-12,77.62,78.31,77.38,78.05,21957,351133
2025-09-15,77.88,79.34,77.39,79.03,29113,353026
2025-09-16,79.33,80.54,78.77,79.79,32480,352111
2025-09-17,79.78,80.73,78.97,79.26,31125,351066
2025-09-18,79.22,80.51,79.11,80.12,26429,352301
2025-09-19,79.93,80.03,79.29,79.83,18696,353508
2025-09-22,79.97,79.97,78.19,78.49,27291,355535
2025-09-23,78.49,79.53,78.05,79.07,25554,357172
2025-09-24,78.92,79.06,78.05,78.30,22093,354700
2025-09-25,78.31,78.87,77.64,78.04,25407,353056
2025-09-26,77.81,78.38,77.38,78.26,20195,355873
2025-09-29,78.13,79.25,77.34,79.07,27910,359076
2025-09-30,79.07,79.08,77.85,78.00,24553,360319
2025-10-01,77.89,78.84,76.79,78.61,33967,358983
2025-10-02,78.63,80.08,78.39,79.71,31991,360295
2025-10-03,79.93,81.83,79.80,81.44,33990,361436
2025-10-06,82.00,82.39,80.89,81.03,31030,360935
2025-10-07,81.03,81.41,80.28,80.59,27641,361096
2025-10-08,80.42,81.57,80.18,81.29,19358,359782
2025-10-09,81.18,81.82,80.32,81.51,25204,360888
2025-10-10,81.50,82.65,81.29,81.96,31682,360315
2025-10-13,81.82,82.02,80.04,80.40,32542,360160
2025-10-14,80.18,80.18,78.97,79.20,32098,358826
2025-10-15,79.01,80.58,78.96,80.16,26110,359065
2025-10-16,80.34,81.97,79.89,81.79,27016,360218
2025-10-17,81.27,82.18,80.40,81.74,32241,360868
2025-10-20,81.78,82.24,80.93,82.10,25311,360757
2025-10-21,82.09,82.27,81.20,81.86,23122,360179
2025-10-22,81.68,81.92,80.43,80.74,24580,359554
2025-10-23,80.76,81.47,80.30,80.72,25453,359234
2025-10-24,80.77,81.17,80.19,80.60,17200,360621
2025-10-27,80.58,80.58,79.29,80.05,22999,361245
2025-10-28,80.22,81.16,79.78,80.60,23625,364780
2025-10-29,80.93,81.41,80.46,81.09,22112,367005
2025-10-30,81.14,81.82,80.82,80.95,22435,369822
2025-10-31,81.07,81.41,80.29,80.82,20288,370256
2025-11-03,81.06,84.03,81.06,83.48,47976,370812
2025-11-04,83.48,84.69,83.34,84.59,34708,370620
2025-11-05,84.28,84.51,83.17,83.77,26676,372516
